Country,Year,WheatProduced(MT)
Ethiopia,2018,4.2
Afghanistan,2018,3.6
Hungary,2018,5.2
Czechia,2018,4.4
Bulgaria,2018,5.8
Lithuania,2018,2.8
Denmark,2018,2.7
Sweden,2018,1.6
Algeria,2018,4.0
Mexico,2018,2.9
Serbia,2018,2.9
Syria,2018,1.2
Belarus,2018,1.8
Latvia,2018,1.4
Morocco,2018,7.3
Nepal,2018,2.0
Slovakia,2018,1.9
South Africa,2018,1.9
World total,2018,734.0
China,2017,134.3
India,2017,98.5
Russia,2017,85.9
United States,2017,47.3
Canada,2017,30.0
France,2017,36.9
Pakistan,2017,26.7
Ukraine,2017,26.2
Germany,2017,24.5
Turkey,2017,21.5
Argentina,2017,18.4
Iran,2017,14.0
Australia,2017,31.8
Kazakhstan,2017,14.8
Poland,2017,11.7
United Kingdom,2017,14.8
Egypt,2017,8.6
Spain,2017,4.8
Romania,2017,10.0
Italy,2017,7.0
Brazil,2017,4.3
Iraq,2017,3.0
Uzbekistan,2017,6.1
Ethiopia,2017,4.8
Afghanistan,2017,4.3
Hungary,2017,5.2
Czechia,2017,4.7
Bulgaria,2017,6.1
Lithuania,2017,3.9
Denmark,2017,4.8
Sweden,2017,3.3
Algeria,2017,2.4
Mexico,2017,3.5
Serbia,2017,2.3
Syria,2017,2.2
Belarus,2017,2.6
Latvia,2017,2.1
Morocco,2017,7.1
Nepal,2017,1.9
Slovakia,2017,1.8
South Africa,2017,1.5
World total,2017,771.7
China,2016,131.7
India,2016,93.5
Russia,2016,73.3
United States,2016,62.9
Canada,2016,30.5
France,2016,29.5
Pakistan,2016,26.0
Ukraine,2016,26.1
Germany,2016,24.5
Turkey,2016,20.6
Argentina,2016,18.6
Iran,2016,11.1
Australia,2016,22.3
Kazakhstan,2016,15.0
Poland,2016,10.8
United Kingdom,2016,14.4
Egypt,2016,9.0
Spain,2016,6.4
Romania,2016,8.4
Italy,2016,8.0
Brazil,2016,6.8
Iraq,2016,3.1
Uzbekistan,2016,6.9
Ethiopia,2016,4.5
Afghanistan,2016,4.6
Hungary,2016,4.8
Czechia,2016,5.5
Bulgaria,2016,5.7
Lithuania,2016,3.8
Denmark,2016,4.2
Sweden,2016,2.8
Algeria,2016,2.4
Mexico,2016,3.9
Serbia,2016,2.9
Syria,2016,2.9
Belarus,2016,2.3
Latvia,2016,2.1
Morocco,2016,2.7
Nepal,2016,1.7
Slovakia,2016,2.4
South Africa,2016,1.9
World total,2016,749.5
China,2015,130.2
India,2015,86.5
Russia,2015,61.8
United States,2015,55.8
Canada,2015,27.6
France,2015,42.8
Pakistan,2015,25.1
Ukraine,2015,26.5
Germany,2015,26.5
Turkey,2015,22.6
Argentina,2015,11.6
Iran,2015,11.5
Australia,2015,23.7
Kazakhstan,2015,13.7
Poland,2015,11.0
United Kingdom,2015,16.4
Egypt,2015,9.6
Spain,2015,6.4
Romania,2015,8.0
Italy,2015,7.4
Brazil,2015,5.5
Iraq,2015,2.6
Uzbekistan,2015,7.0
Ethiopia,2015,4.7
Afghanistan,2015,4.7
Hungary,2015,5.3
Czechia,2015,5.3
Bulgaria,2015,5.0
Lithuania,2015,4.4
Denmark,2015,5.0
Sweden,2015,3.3
Algeria,2015,2.7
Mexico,2015,3.7
Serbia,2015,2.4
Syria,2015,2.4
Belarus,2015,2.9
Latvia,2015,2.3
Morocco,2015,8.1
Nepal,2015,2.0
Slovakia,2015,2.1
South Africa,2015,1.5
World total,2015,737.0
China,2014,126.2
India,2014,94.5
Russia,2014,59.7
United States,2014,55.4
Canada,2014,29.3
France,2014,39.0
Pakistan,2014,26.0
Ukraine,2014,24.1
Germany,2014,27.8
Turkey,2014,19.0
Argentina,2014,13.9
Iran,2014,13.5
Australia,2014,25.3
Kazakhstan,2014,13.0
Poland,2014,11.6
United Kingdom,2014,16.6
Egypt,2014,9.3
Spain,2014,6.5
Romania,2014,7.6
Italy,2014,7.1
Brazil,2014,6.3
Iraq,2014,3.8
Uzbekistan,2014,7.0
Ethiopia,2014,4.2
Afghanistan,2014,5.4
Hungary,2014,5.3
Czechia,2014,5.4
Bulgaria,2014,5.3
Lithuania,2014,3.2
Denmark,2014,4.9
Sweden,2014,3.1
Algeria,2014,2.4
Mexico,2014,3.7
Serbia,2014,2.4
Syria,2014,2.0
Belarus,2014,2.9
Latvia,2014,1.5
Morocco,2014,5.1
Nepal,2014,1.9
Slovakia,2014,2.1
South Africa,2014,1.8
World total,2014,733.5
China,2013,121.7
India,2013,93.5
Russia,2013,52.1
United States,2013,60.0
Canada,2013,37.5
France,2013,38.6
Pakistan,2013,24.2
Ukraine,2013,22.8
Germany,2013,25.0
Turkey,2013,22.1
Argentina,2013,8.0
Iran,2013,14.0
Australia,2013,22.9
Kazakhstan,2013,13.9
Poland,2013,9.5
United Kingdom,2013,11.9
Egypt,2013,9.5
Spain,2013,7.6
Romania,2013,7.3
Italy,2013,7.0
Brazil,2013,5.7
Iraq,2013,3.3
Uzbekistan,2013,6.8
Ethiopia,2013,4.0
Afghanistan,2013,5.2
Hungary,2013,5.1
Czechia,2013,4.7
Bulgaria,2013,5.1
Lithuania,2013,2.9
Denmark,2013,4.1
Sweden,2013,1.9
Algeria,2013,3.2
Mexico,2013,3.4
Serbia,2013,2.7
Syria,2013,3.1
Belarus,2013,2.1
Latvia,2013,1.4
Morocco,2013,6.9
Nepal,2013,1.7
Slovakia,2013,1.7
South Africa,2013,1.9
World total,2013,711.0
China,2012,125.6
India,2012,94.9
Russia,2012,37.7
United States,2012,61.8
Canada,2012,27.0
France,2012,40.3
Pakistan,2012,23.5
Ukraine,2012,15.8
Germany,2012,22.4
Turkey,2012,20.1
Argentina,2012,11.0
Iran,2012,13.8
Australia,2012,29.9
Kazakhstan,2012,13.3
Poland,2012,8.6
United Kingdom,2012,13.3
Egypt,2012,8.8
Spain,2012,4.7
Romania,2012,5.3
Italy,2012,7.4
Brazil,2012,4.4
Iraq,2012,2.4
Uzbekistan,2012,6.5
Ethiopia,2012,2.9
Afghanistan,2012,5.1
Hungary,2012,3.8
Czechia,2012,3.5
Bulgaria,2012,4.3
Lithuania,2012,3.0
Denmark,2012,4.5
Sweden,2012,2.3
Algeria,2012,3.4
Mexico,2012,2.3
Serbia,2012,1.9
Syria,2012,3.7
Belarus,2012,2.6
Latvia,2012,1.5
Morocco,2012,3.9
Nepal,2012,1.9
Slovakia,2012,1.3
South Africa,2012,1.9
World total,2012,672.7
China,2011,117.4
India,2011,86.9
Russia,2011,56.2
United States,2011,54.4
Canada,2011,25.3
France,2011,38.0
Pakistan,2011,25.2
Ukraine,2011,22.3
Germany,2011,22.8
Turkey,2011,21.8
Argentina,2011,16.4
Iran,2011,13.5
Australia,2011,27.4
Kazakhstan,2011,22.7
Poland,2011,9.3
United Kingdom,2011,15.3
Egypt,2011,8.4
Spain,2011,6.9
Romania,2011,7.1
Italy,2011,6.6
Brazil,2011,5.7
Iraq,2011,2.8
Uzbekistan,2011,6.5
Ethiopia,2011,2.9
Afghanistan,2011,3.4
Hungary,2011,4.1
Czechia,2011,4.9
Bulgaria,2011,4.5
Lithuania,2011,1.9
Denmark,2011,4.8
Sweden,2011,2.3
Algeria,2011,2.6
Mexico,2011,3.6
Serbia,2011,2.1
Syria,2011,3.9
Belarus,2011,2.2
Latvia,2011,0.9
Morocco,2011,6.0
Nepal,2011,1.8
Slovakia,2011,1.6
South Africa,2011,2.0
World total,2011,697.7
China,2010,115.2
India,2010,80.7
Russia,2010,41.5
United States,2010,60.1
Canada,2010,23.2
France,2010,38.2
Pakistan,2010,23.3
Ukraine,2010,16.9
Germany,2010,24.1
Turkey,2010,19.7
Argentina,2010,14.9
Iran,2010,15.0
Australia,2010,22.1
Kazakhstan,2010,9.6
Poland,2010,9.5
United Kingdom,2010,14.9
Egypt,2010,7.2
Spain,2010,5.6
Romania,2010,5.8
Italy,2010,6.8
Brazil,2010,6.0
Iraq,2010,2.8
Uzbekistan,2010,6.7
Ethiopia,2010,3.1
Afghanistan,2010,4.5
Hungary,2010,3.8
Czechia,2010,4.2
Bulgaria,2010,4.0
Lithuania,2010,1.7
Denmark,2010,5.1
Sweden,2010,2.2
Algeria,2010,2.6
Mexico,2010,3.7
Serbia,2010,1.6
Syria,2010,3.1
Belarus,2010,1.7
Latvia,2010,1.0
Morocco,2010,4.9
Nepal,2010,1.6
Slovakia,2010,1.2
South Africa,2010,1.4
World total,2010,640.3
China,2009,115.1
India,2009,80.7
Russia,2009,61.7
United States,2009,60.3
Canada,2009,26.8
France,2009,38.3
Pakistan,2009,24.0
Ukraine,2009,20.9
Germany,2009,25.2
Turkey,2009,20.6
Argentina,2009,8.9
Iran,2009,13.5
Australia,2009,21.7
Kazakhstan,2009,17.1
Poland,2009,9.8
United Kingdom,2009,14.4
Egypt,2009,8.5
Spain,2009,4.7
Romania,2009,5.2
Italy,2009,6.3
Brazil,2009,5.1
Iraq,2009,1.7
Uzbekistan,2009,6.6
Ethiopia,2009,2.5
Afghanistan,2009,5.1
Hungary,2009,4.4
Czechia,2009,4.4
Bulgaria,2009,4.0
Lithuania,2009,2.1
Denmark,2009,5.9
Sweden,2009,2.3
Algeria,2009,3.0
Mexico,2009,4.1
Serbia,2009,2.1
Syria,2009,3.7
Belarus,2009,2.0
Latvia,2009,1.0
Morocco,2009,6.4
Nepal,2009,1.3
Slovakia,2009,1.5
South Africa,2009,2.0
World total,2009,684.2
China,2008,112.5
India,2008,78.6
Russia,2008,63.7
United States,2008,68.0
Canada,2008,28.6
France,2008,39.0
Pakistan,2008,21.0
Ukraine,2008,25.9
Germany,2008,26.0
Turkey,2008,17.8
Argentina,2008,8.5
Iran,2008,8.0
Australia,2008,21.4
Kazakhstan,2008,12.6
Poland,2008,9.3
United Kingdom,2008,17.2
Egypt,2008,8.0
Spain,2008,6.7
Romania,2008,7.2
Italy,2008,8.9
Brazil,2008,6.0
Iraq,2008,1.3
Uzbekistan,2008,6.1
Ethiopia,2008,2.5
Afghanistan,2008,2.6
Hungary,2008,5.6
Czechia,2008,4.6
Bulgaria,2008,4.6
Lithuania,2008,1.7
Denmark,2008,5.0
Sweden,2008,2.2
Algeria,2008,1.1
Mexico,2008,4.0
Serbia,2008,2.1
Syria,2008,2.1
Belarus,2008,2.0
Latvia,2008,1.0
Morocco,2008,3.8
Nepal,2008,1.6
Slovakia,2008,1.8
South Africa,2008,2.1
World total,2008,681.0
China,2007,109.9
India,2007,74.9
Russia,2007,49.4
United States,2007,53.6
Canada,2007,20.6
France,2007,33.2
Pakistan,2007,23.5
Ukraine,2007,13.8
Germany,2007,21.4
Turkey,2007,17.7
Argentina,2007,16.5
Iran,2007,15.9
Australia,2007,13.0
Kazakhstan,2007,16.5
Poland,2007,8.4
United Kingdom,2007,13.4
Egypt,2007,7.4
Spain,2007,6.4
Romania,2007,2.9
Italy,2007,7.3
Brazil,2007,4.1
Iraq,2007,2.2
Uzbekistan,2007,6.2
Ethiopia,2007,2.2
Afghanistan,2007,4.5
Hungary,2007,4.0
Czechia,2007,4.0
Bulgaria,2007,2.4
Lithuania,2007,1.4
Denmark,2007,4.5
Sweden,2007,2.3
Algeria,2007,2.3
Mexico,2007,3.5
Serbia,2007,2.1
Syria,2007,4.0
Belarus,2007,1.4
Latvia,2007,0.8
Morocco,2007,1.6
Nepal,2007,1.5
Slovakia,2007,1.4
South Africa,2007,1.9
World total,2007,606.7
China,2006,104.5
India,2006,69.4
Russia,2006,45.0
United States,2006,57.3
Canada,2006,27.3
France,2006,35.4
Pakistan,2006,21.3
Ukraine,2006,14.0
Germany,2006,22.4
Turkey,2006,20.0
Argentina,2006,14.0
Iran,2006,14.5
Australia,2006,10.8
Kazakhstan,2006,13.5
Poland,2006,7.1
United Kingdom,2006,14.7
Egypt,2006,8.3
Spain,2006,5.6
Romania,2006,5.5
Italy,2006,7.1
Brazil,2006,2.5
Iraq,2006,2.1
Uzbekistan,2006,6.1
Ethiopia,2006,2.8
Afghanistan,2006,3.4
Hungary,2006,4.4
Czechia,2006,3.5
Bulgaria,2006,3.3
Lithuania,2006,0.8
Denmark,2006,4.8
Sweden,2006,2.0
Algeria,2006,2.7
Mexico,2006,3.3
Serbia,2006,1.9
Syria,2006,4.7
Belarus,2006,1.1
Latvia,2006,0.6
Morocco,2006,6.3
Nepal,2006,1.4
Slovakia,2006,1.3
South Africa,2006,2.1
World total,2006,614.5
China,2005,96.3
India,2005,72.0
Russia,2005,47.6
United States,2005,57.1
Canada,2005,25.6
France,2005,36.9
Pakistan,2005,21.6
Ukraine,2005,18.7
Germany,2005,23.6
Turkey,2005,21.0
Argentina,2005,16.0
Iran,2005,14.5
Australia,2005,25.1
Kazakhstan,2005,11.1
Poland,2005,8.6
United Kingdom,2005,15.0
Egypt,2005,8.1
Spain,2005,3.8
Romania,2005,7.0
Italy,2005,7.5
Brazil,2005,5.2
Iraq,2005,2.2
Uzbekistan,2005,6.1
Ethiopia,2005,1.7
Afghanistan,2005,4.3
Hungary,2005,5.0
Czechia,2005,4.5
Bulgaria,2005,3.5
Lithuania,2005,1.4
Denmark,2005,4.8
Sweden,2005,2.2
Algeria,2005,2.4
Mexico,2005,3.0
Serbia,2005,2.7
Syria,2005,4.7
Belarus,2005,1.2
Latvia,2005,0.7
Morocco,2005,3.0
Nepal,2005,1.4
Slovakia,2005,1.6
South Africa,2005,1.9
World total,2005,626.9
China,2004,91.6
India,2004,72.1
Russia,2004,45.4
United States,2004,58.7
Canada,2004,25.9
France,2004,39.7
Pakistan,2004,19.5
Ukraine,2004,17.5
Germany,2004,25.4
Turkey,2004,21.0
Argentina,2004,14.6
Iran,2004,14.0
Australia,2004,21.9
Kazakhstan,2004,9.9
Poland,2004,9.9
United Kingdom,2004,15.5
Egypt,2004,7.2
Spain,2004,7.1
Romania,2004,7.8
Italy,2004,8.6
Brazil,2004,5.7
Iraq,2004,1.8
Uzbekistan,2004,5.4
Ethiopia,2004,1.6
Afghanistan,2004,2.3
Hungary,2004,6.0
Czechia,2004,5.0
Bulgaria,2004,4.0
Lithuania,2004,1.4
Denmark,2004,4.8
Sweden,2004,2.4
Algeria,2004,2.7
Mexico,2004,2.9
Serbia,2004,2.8
Syria,2004,4.5
Belarus,2004,1.1
Latvia,2004,0.5
Morocco,2004,5.5
Nepal,2004,1.4
Slovakia,2004,1.8
South Africa,2004,1.7
World total,2004,634.9
China,2003,86.5
India,2003,65.1
Russia,2003,34.1
United States,2003,63.8
Canada,2003,23.6
France,2003,30.5
Pakistan,2003,19.2
Ukraine,2003,6.9
Germany,2003,19.3
Turkey,2003,19.0
Argentina,2003,14.5
Iran,2003,13.4
Australia,2003,26.1
Kazakhstan,2003,11.5
Poland,2003,7.9
United Kingdom,2003,14.3
Egypt,2003,6.8
Spain,2003,6.3
Romania,2003,2.5
Italy,2003,6.2
Brazil,2003,6.2
Iraq,2003,2.3
Uzbekistan,2003,5.4
Ethiopia,2003,1.4
Afghanistan,2003,3.5
Hungary,2003,2.9
Czechia,2003,2.6
Bulgaria,2003,2.0
Lithuania,2003,1.2
Denmark,2003,4.7
Sweden,2003,2.3
Algeria,2003,3.0
Mexico,2003,2.8
Serbia,2003,1.4
Syria,2003,4.9
Belarus,2003,0.8
Latvia,2003,0.5
Morocco,2003,5.7
Nepal,2003,1.3
Slovakia,2003,0.9
South Africa,2003,1.5
World total,2003,550.1
China,2002,90.3
India,2002,72.8
Russia,2002,50.6
United States,2002,44.1
Canada,2002,16.2
France,2002,38.9
Pakistan,2002,18.2
Ukraine,2002,20.6
Germany,2002,20.8
Turkey,2002,19.5
Argentina,2002,12.3
Iran,2002,12.5
Australia,2002,10.1
Kazakhstan,2002,12.7
Poland,2002,9.3
United Kingdom,2002,16.0
Egypt,2002,6.6
Spain,2002,6.8
Romania,2002,4.4
Italy,2002,7.6
Brazil,2002,3.1
Iraq,2002,2.6
Uzbekistan,2002,5.0
Ethiopia,2002,1.5
Afghanistan,2002,2.7
Hungary,2002,3.9
Czechia,2002,3.9
Bulgaria,2002,4.1
Lithuania,2002,1.2
Denmark,2002,4.1
Sweden,2002,2.1
Algeria,2002,1.5
Mexico,2002,3.2
Serbia,2002,2.3
Syria,2002,4.8
Belarus,2002,1.0
Latvia,2002,0.5
Morocco,2002,3.4
Nepal,2002,1.3
Slovakia,2002,1.6
South Africa,2002,2.4
World total,2002,592.0
China,2001,93.9
India,2001,69.7
Russia,2001,47.0
United States,2001,53.3
Canada,2001,20.6
France,2001,31.5
Pakistan,2001,19.0
Ukraine,2001,21.4
Germany,2001,22.8
Turkey,2001,19.0
Argentina,2001,15.4
Iran,2001,9.5
Australia,2001,24.3
Kazakhstan,2001,12.7
Poland,2001,9.3
United Kingdom,2001,11.6
Egypt,2001,6.3
Spain,2001,5.0
Romania,2001,7.8
Italy,2001,6.5
Brazil,2001,3.4
Iraq,2001,0.9
Uzbekistan,2001,3.7
Ethiopia,2001,1.6
Afghanistan,2001,1.6
Hungary,2001,5.2
Czechia,2001,4.5
Bulgaria,2001,4.1
Lithuania,2001,1.1
Denmark,2001,4.7
Sweden,2001,2.4
Algeria,2001,2.0
Mexico,2001,3.3
Serbia,2001,2.5
Syria,2001,4.7
Belarus,2001,0.9
Latvia,2001,0.5
Morocco,2001,3.3
Nepal,2001,1.1
Slovakia,2001,1.9
South Africa,2001,2.5
World total,2001,588.2
China,2000,99.7
India,2000,76.4
Russia,2000,34.5
United States,2000,60.8
Canada,2000,26.8
France,2000,37.5
Pakistan,2000,21.1
Ukraine,2000,10.2
Germany,2000,21.6
Turkey,2000,17.5
Argentina,2000,16.5
Iran,2000,7.0
Australia,2000,18.5
Kazakhstan,2000,9.1
Poland,2000,8.5
United Kingdom,2000,16.8
Egypt,2000,6.6
Spain,2000,7.3
Romania,2000,4.4
Italy,2000,6.9
Brazil,2000,1.7
Iraq,2000,0.4
Uzbekistan,2000,3.5
Ethiopia,2000,2.5
Afghanistan,2000,1.5
Hungary,2000,3.7
Czechia,2000,4.1
Bulgaria,2000,3.3
Lithuania,2000,1.2
Denmark,2000,4.7
Sweden,2000,2.4
Algeria,2000,0.8
Mexico,2000,3.3
Serbia,2000,2.3
Syria,2000,2.7
Belarus,2000,1.0
Latvia,2000,0.4
Morocco,2000,1.4
Nepal,2000,1.2
Slovakia,2000,1.3
South Africa,2000,2.4
World total,2000,585.0
China,1999,113.9
India,1999,70.8
Russia,1999,31.0
United States,1999,62.7
Canada,1999,26.9
France,1999,37.2
Pakistan,1999,17.9
Ukraine,1999,13.6
Germany,1999,19.6
Turkey,1999,16.5
Argentina,1999,15.7
Iran,1999,8.0
Australia,1999,24.1
Kazakhstan,1999,11.2
Poland,1999,9.1
United Kingdom,1999,14.9
Egypt,1999,6.3
Spain,1999,4.9
Romania,1999,4.4
Italy,1999,7.3
Brazil,1999,2.5
Iraq,1999,0.8
Uzbekistan,1999,3.6
Ethiopia,1999,2.1
Afghanistan,1999,2.5
Hungary,1999,2.6
Czechia,1999,4.0
Bulgaria,1999,3.2
Lithuania,1999,0.9
Denmark,1999,4.5
Sweden,1999,1.7
Algeria,1999,1.5
Mexico,1999,3.1
Serbia,1999,2.1
Syria,1999,2.6
Belarus,1999,0.7
Latvia,1999,0.4
Morocco,1999,2.2
Nepal,1999,1.1
Slovakia,1999,1.2
South Africa,1999,1.7
World total,1999,584.8
China,1998,109.7
India,1998,65.9
Russia,1998,27.0
United States,1998,69.4
Canada,1998,24.1
France,1998,39.8
Pakistan,1998,18.7
Ukraine,1998,14.9
Germany,1998,20.2
Turkey,1998,18.5
Argentina,1998,11.5
Iran,1998,11.0
Australia,1998,22.1
Kazakhstan,1998,4.8
Poland,1998,9.5
United Kingdom,1998,15.5
Egypt,1998,6.0
Spain,1998,5.3
Romania,1998,5.0
Italy,1998,8.1
Brazil,1998,2.3
Iraq,1998,1.1
Uzbekistan,1998,3.6
Ethiopia,1998,1.5
Afghanistan,1998,2.8
Hungary,1998,4.9
Czechia,1998,3.8
Bulgaria,1998,3.3
Lithuania,1998,1.0
Denmark,1998,5.0
Sweden,1998,2.2
Algeria,1998,2.3
Mexico,1998,3.2
Serbia,1998,2.9
Syria,1998,4.1
Belarus,1998,0.8
Latvia,1998,0.4
Morocco,1998,4.4
Nepal,1998,1.0
Slovakia,1998,1.8
South Africa,1998,1.9
World total,1998,596.2
China,1997,123.3
India,1997,69.4
Russia,1997,44.3
United States,1997,67.5
Canada,1997,24.3
France,1997,33.9
Pakistan,1997,16.7
Ukraine,1997,18.4
Germany,1997,19.8
Turkey,1997,16.2
Argentina,1997,14.8
Iran,1997,10.2
Australia,1997,19.4
Kazakhstan,1997,8.7
Poland,1997,8.2
United Kingdom,1997,15.1
Egypt,1997,5.8
Spain,1997,4.6
Romania,1997,6.6
Italy,1997,6.8
Brazil,1997,2.5
Iraq,1997,1.1
Uzbekistan,1997,3.0
Ethiopia,1997,2.0
Afghanistan,1997,2.7
Hungary,1997,5.3
Czechia,1997,3.6
Bulgaria,1997,3.6
Lithuania,1997,1.1
Denmark,1997,5.0
Sweden,1997,2.1
Algeria,1997,0.7
Mexico,1997,3.6
Serbia,1997,3.1
Syria,1997,3.0
Belarus,1997,0.7
Latvia,1997,0.4
Morocco,1997,2.3
Nepal,1997,1.1
Slovakia,1997,1.9
South Africa,1997,2.4
World total,1997,614.7
China,1996,110.6
India,1996,62.6
Russia,1996,34.9
United States,1996,62.0
Canada,1996,29.8
France,1996,35.9
Pakistan,1996,16.9
Ukraine,1996,13.5
Germany,1996,18.9
Turkey,1996,16.2
Argentina,1996,15.9
Iran,1996,8.8
Australia,1996,23.7
Kazakhstan,1996,8.0
Poland,1996,8.6
United Kingdom,1996,16.1
Egypt,1996,5.7
Spain,1996,6.0
Romania,1996,3.1
Italy,1996,8.3
Brazil,1996,3.3
Iraq,1996,1.3
Uzbekistan,1996,2.7
Ethiopia,1996,1.6
Afghanistan,1996,2.3
Hungary,1996,3.9
Czechia,1996,3.7
Bulgaria,1996,1.8
Lithuania,1996,0.9
Denmark,1996,4.8
Sweden,1996,2.0
Algeria,1996,3.0
Mexico,1996,3.4
Serbia,1996,1.5
Syria,1996,4.1
Belarus,1996,0.6
Latvia,1996,0.4
Morocco,1996,5.9
Nepal,1996,1.0
Slovakia,1996,1.7
South Africa,1996,2.7
World total,1996,578.6
